tyc,name,bayer,flamsteed,constellation
TYC 1265-1173-1,,,85,Tau
TYC 1265-1174-1,,,81,Tau
TYC 1265-1175-1,,,80,Tau
TYC 1265-1176-1,,,71,Tau
TYC 1265-1177-1,,,84,Tau
TYC 1266-1416-1,Aldebaran,α,87,Tau
TYC 1266-1417-1,,,89,Tau
TYC 1266-1418-1,,σ2,92,Tau
TYC 1266-1419-1,,σ1,91,Tau
TYC 1268-1267-1,Secunda Hyadum,δ,61,Tau
TYC 1269-1244-1,,,64,Tau
TYC 1269-1246-1,,,68,Tau
TYC 1270-424-1,,,,Tau
TYC 1272-1126-1,,ω,50,Tau
TYC 1273-1104-1,Ain,ε,74,Tau
TYC 1276-1621-1,,,56,Tau
TYC 1276-1622-1,,,51,Tau
TYC 1276-1623-1,,,53,Tau
TYC 1276-1624-1,,,,Tau
TYC 1277-1626-1,,κ,65,Tau
TYC 1277-1627-1,,,67,Tau
TYC 1278-2001-1,,,,Tau
